_id,detail,discount,link,oldprice,press,price,title
p25137790,, (5折) ,http://product.dangdang.com/25137790.html,¥28.00,作家出版社,¥14.00, 活着（2017年新版）
p23579654,相关推荐：三体中的物理学 《三体》的幻想源于经典物理中的三体问题，即三个体积质量相当的天体，在远离其它星系以致其它星系的引力影响可忽略不计的情况下，三个天体在互相引力的作用下互相围绕运行，其运行轨迹将产生不可预测的混沌。很多年来，数学家们一直希望能建立三体乃至多体问题的数学模型，可遗憾的是，得到的结果仅仅是三体问题在非限制条件下的不可解。刘慈欣正是基于这样的科学事实，用大胆的想象和严谨的推断，在三体星系的行星中构建了一个外星文明形态，并描绘了该文明在如同不可捉摸的命运一般的 恒纪元 与 乱纪元 [ 注 1] 的轮替中，数百次的毁灭和重生。三体的故事有着广袤的时间与空间纬度，其以明暗两条线索发展，一条描述了科学家叶文洁在目睹了文革的疯狂与愚昧之后，痛苦的思索着后工业时代对人本, (6.91折) ,http://product.dangdang.com/23579654.html,¥93.00,重庆出版社,¥64.20, 三体：全三册（刘慈欣代表作，亚洲首部“雨果奖”获奖作品！）
p23464478,★《白夜行》后，东野圭吾zui受欢迎作品 ★不是推理小说，却更扣人心弦 ★荣获中央公论文艺奖 ★荣登纪伊国屋、诚品、博客来、金石堂各大排行榜第1名 ★东野圭吾这次选择的，是生活中*平凡的片段：在事业和爱情间艰难抉择的运动员、离家打拼却屡遭挫折的音乐人、想要挣钱报答亲人的女招待 他们真诚又忐忑地写下信件，想要为自己的未来找到新的可能。互不相识的人因一家可以咨询烦恼的杂货店而走到一起，虽未谋面，心与心却真诚相对，这正是东野圭吾想要展现的力量：现代人内心流失的东西，这家杂货店能帮你找回。 ★僻静的街道上有一家店，不仅销售杂货，还提供烦恼咨询。无论你挣扎犹豫，还是绝望痛苦，欢迎来信！ ★《解忧杂货店》充分展现了东野圭吾的创作才华。通过书信这种已渐渐淡出人们生活的交谈方式，人物依次登场, (6.92折) ,http://product.dangdang.com/23464478.html,¥39.50,南海出版公司,¥27.30, 东野圭吾：解忧杂货店
p25119332,1999年，东野圭吾41岁正值盛年，写作出道已14年，在笔力、技巧、体力和雄心上都炉火纯青，于是洋洋洒洒写出了这部鸿篇巨制《白夜行》。这种规模宏大的长篇作品在职业作家一生的创作中极为罕见，完成后基本都被视为生涯代表作。 《白夜行》一经推出即成为东野圭吾的长篇小说代表作，被万千书迷视为东野圭吾作品中的无冕之王，畅销至今。 《白夜行》中文版销量突破450万册，和《嫌疑人X的献身》《恶意》《解忧杂货店》并称为东野圭吾四大杰作。 《白夜行》草蛇灰线伏脉千里，情节线索纵横交错又丝丝入扣，全书登场人物超过50个，用一桩离奇命案牵出案件相关人19年惊心动魄的故事、悲凉的爱情、吊诡的命运、令人发指的犯罪、白描又生动的社会图景、复杂人性的对决与救赎，读来令人叹为观止。 《白夜行》淋漓尽致地展现了东野圭吾的写, (6.9折) ,http://product.dangdang.com/25119332.html,¥59.60,南海出版公司,¥41.10, 东野圭吾：白夜行（2017版）
p25090502,茅盾文学奖皇冠上的明珠 激励亿万读者的不朽经典 深受老师和学生喜爱的新课标必读书 路遥获得了这个世界里数以亿计的普通人的尊敬和崇拜，他沟通了这个世界的人们和地球人类的情感。 陈忠实 他是一个优秀的作家，他是一个出色的政治家，他是一个气势磅礴的人。但他是夸父，倒在干渴的路上。他的文学就像火一样燃出炙人的灿烂的光焰。 贾平凹 对我影响*的人是路遥。是路遥的作品改变了我，让我意识到不放弃总有机会，否则我现在还在蹬三轮车呢。 马 云 作家路遥用毕生心血写就的《平凡的世界》，展示了一幅宏大的普通人在时代大变革中所走过的既平凡又壮美的人生画卷。人生的奋斗，理想的追求，在不同的时代都是相似的。, (6.9折) ,http://product.dangdang.com/25090502.html,¥108.00,北京十月文艺出版社,¥74.50, 平凡的世界：全三册（八年级下册自主阅读推荐）
p23761145,★ 太宰治灵魂深处无助的生命绝唱，同时也是村上春树绝望凄美的灵感源泉。 ★ 完整收录未完成遗作《Goodbye》， 无赖派 文学大师太宰治代表作集结。 ★ 即使时移世易，深深的绝望依旧源自内心的迷茫，而这种迷茫和彷徨几乎贯穿了太宰治以及我们每个人的青春。因此，《人间失格》是一部残酷而永恒的青春文学。 ★ 世界文学名著系列，名家翻译，全译本，唯美设计，印刷精美。, (2.88折) ,http://product.dangdang.com/23761145.html,¥25.00,作家出版社,¥7.20, 人间失格（日本小说家太宰治的自传体小说）
p25138856,【50周年纪念版！全新典藏内封；限量赠50周年精美魔幻明信片1套】 【全球惟一正式授权中文版，6年发行量超600万册！】 ★缔造文坛传奇与文学奇迹的小说巨著 ★影响世界小说走向的文学巨匠 加西亚 马尔克斯代表作！ ★代表 魔幻现实主义 文学主峰 ★征服全球读者、作家、出版社、版权经纪人、书店、媒体的鸿篇巨制 ★被誉为 《堂吉诃德》之后伟大的西班牙语作品 ★中国读者等待了近半个世纪的殿堂级作品 ★根据马尔克斯指定版本翻译，未做任何增删 ★主要凭借《百年孤独》的巨大影响，加西亚 马尔克斯赢得诺贝尔文学奖，奠定了世界文学大师的地位 ★作品中将现实主义场面和虚构情境巧妙融合，展现出一个光怪陆离的想象世界，映射了一个大陆的风云变幻和百年沧桑 ★《百年孤独》融神话故事、《圣经》典故、民间传说于一体，, (7.51折) ,http://product.dangdang.com/25138856.html,¥55.00,南海出版公司,¥41.30, 马尔克斯：百年孤独（50周年纪念版）
p22819334,凡是真正出色的文学作品，都具有一种抗理论分析力，任何自认为深透、精彩的理论都会在它们面前显得干瘪而又捉襟见肘。尽管钱锺书所著的《围城》本身并不朦胧，但我们读后的感觉仍是感觉大于思想，大于语言。读了本书，你会觉得自己周围的一切，包括自身，包括自己原来颇为热衷的一些东西，都增加了不小的喜剧色彩。 超值推荐：蔡东藩历朝通俗演义（全21册，共11部）读《二十四史》，不如读蔡东藩，一代史家，千秋神笔！陪伴*一生的枕边书。 超值推荐：唐浩明晚清三部曲（全九册）：曾国藩、杨度、张之洞，文白对照全新修订、典藏烫金版，获姚雪垠长篇历史小说奖。, (6.21折) ,http://product.dangdang.com/22819334.html,¥39.00,人民文学出版社,¥24.20, 围城
p25126128,一本写给每个人的梦想之书，无关国界，无关年龄。 漫漫人生路，多少人只是怯懦地望一眼月亮，却继续紧握兜里叮当作响的六便士。 其实，追逐理想并非是为自己赢得一场噩运， 在满地都是六便士的街上，他抬头看到了月亮 查尔斯 一个绝望的梦想守护者、一个潦倒落魄的艺术天才， 他的故事发生在世界每个角落，在每个人的身上上演 读时你会羞愧，会心疼，会敬佩，会斗志满满。 他能唤醒麻木，令你重燃理想世界的灯火， 他告诉每个人，你怎样，你的世界便怎样。 纵使你眼中的 珍宝 ，是我手中的 尘埃 ，who care？ ◎ 史上 zui会讲故事的小说家 毛姆经典代表作，一字未删的足本，同名书籍豆瓣评分9.2。 ◎ 村上春树、余华、张爱玲、王安忆、白岩松、杨澜、高晓松、范冰冰、蔡崇达、咪蒙都爱读的佳作。 ◎ 自问世以来，, (4.5折) ,http://product.dangdang.com/25126128.html,¥27.00,时代文艺出版社,¥12.15, 月亮和六便士（又译作《月亮与六便士》，2017修订详注版+无删节全译+豆瓣9.1高评分，在2017豆瓣阅读TOP100
p25146931,作家很多，野生作家只有一个。 写书的人很多，大冰只有一个。 当下中国的青年作家里，这条山东大汉是个独一无二的异端，*不羁，也*接地气。 他的文字是有根的，有血有肉的。 他的这本新书，是本奇书。 他一贯的风格是只讲故事，不说大道理。懂的人自会掩卷沉思，含笑流泪。 他写的书和他的人一样，野性十足，笑骂由人，苦口明心。 仿如一瓢酒，可以慰风尘。 或许，若干年后人们才会明白，他嬉笑怒骂的背后，所传递的东西，有多么金贵。 认识他5年了，有时候觉得他是大神，有时候觉得他是个疯子。 有人搬出高层压他，让他写推荐序，被他一句 去你奶奶的 骂了回去。 有人提着百万现金请他挂名当主编，被他撅了回去，理由是懒得沽名钓誉。 有人开价半亿投资他拍电影，被他笑拒，却侠气地无偿授权了好几个穷困潦, (5.52折) ,http://product.dangdang.com/25146931.html,¥39.00,湖南文艺出版社,¥21.50, 我不（大冰2017新作。再度突破当当预售新记录！10分钟卖出10万册！30分钟登顶全网NO.1。不容错过的奇书！）
